last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Reyes, Jose,408314,2016,33,255,279,8,49,23,17.6,8.2,.267,.443,.326,.769,.249,.373,.329,.311,85.2,17.6,26.1,
Crisp, Coco,424825,2016,36,446,498,13,78,46,15.7,9.2,.231,.397,.299,.696,.243,.354,.301,.315,85.5,13.7,23.3,
Peralta, Jhonny,425509,2016,34,289,313,8,56,20,17.9,6.4,.260,.408,.307,.715,.254,.433,.308,.303,87.6,13.6,33.9,
Loney, James,425766,2016,32,343,366,9,37,16,10.1,4.4,.265,.397,.306,.703,.271,.383,.302,.314,87.5,13,31.5,
Francoeur, Jeff,425796,2016,32,307,331,7,90,20,27.2,6.0,.254,.378,.296,.674,.236,.361,.290,.284,87.9,8.5,32.6,
Upton Jr., B.J.,425834,2016,31,492,539,20,155,37,28.8,6.9,.238,.402,.289,.692,.230,.389,.297,.285,88.3,9.2,36.6,
Molina, Yadier,425877,2016,33,534,581,8,63,39,10.8,6.7,.307,.427,.360,.787,.281,.417,.342,.337,87.8,9.4,28.1,
Navarro, Dioner,425900,2016,32,304,334,6,71,23,21.3,6.9,.207,.322,.263,.586,.200,.283,.258,.263,85,17.4,22.3,
Fielder, Prince,425902,2016,32,326,370,8,63,32,17.0,8.6,.212,.334,.292,.626,.247,.391,.276,.328,88.8,11.5,31.7,
Cano, Robinson,429664,2016,33,655,715,39,100,47,14.0,6.6,.298,.533,.350,.882,.283,.478,.370,.338,90.1,11.5,42.9,
Encarnacion, Edwin,429665,2016,33,601,702,42,138,87,19.7,12.4,.263,.529,.356,.885,.263,.535,.373,.359,90.8,15.8,40.8,
Hardy, J.J.,429666,2016,33,405,438,9,68,26,15.5,5.9,.269,.407,.308,.716,.255,.385,.307,.300,90.2,12.3,39.2,
Howard, Ryan,429667,2016,36,331,362,25,114,27,31.5,7.5,.196,.453,.257,.710,.243,.534,.298,.302,92,16.6,47.7,
Gutierrez, Franklin,429711,2016,33,248,283,14,85,29,30.0,10.2,.246,.452,.329,.780,.252,.490,.336,.340,92.2,11.6,47.6,
Raburn, Ryan,430605,2016,35,223,256,9,80,28,31.3,10.9,.220,.404,.309,.712,.192,.336,.309,.287,90.3,11.5,43.2,
Johnson, Kelly,430637,2016,34,304,333,10,65,25,19.5,7.5,.247,.391,.306,.698,.260,.401,.301,.321,87.6,11.4,33.6,
Bautista, Jose,430832,2016,35,423,517,22,103,87,19.9,16.8,.234,.452,.366,.817,.252,.432,.355,.383,91.5,14.8,45.7,
Jones, Adam,430945,2016,30,619,672,29,115,39,17.1,5.8,.265,.436,.310,.746,.260,.460,.319,.308,88.7,14.8,34.7,
Aybar, Erick,430947,2016,32,415,459,3,70,31,15.3,6.8,.243,.320,.301,.621,.225,.281,.271,.290,85,6.2,15.1,
Hill, Aaron,431094,2016,34,378,429,10,59,41,13.8,9.6,.262,.378,.333,.712,.262,.365,.313,.338,86.7,15.9,26.6,
Martin, Russell,431145,2016,33,455,535,20,148,64,27.7,12.0,.231,.398,.335,.732,.224,.409,.322,.332,89.2,10,40.3,
Granderson, Curtis,434158,2016,35,545,633,30,130,74,20.5,11.7,.237,.464,.335,.799,.244,.424,.339,.343,87.8,18.7,33.1,
Pagan, Angel,434636,2016,34,495,543,12,66,42,12.2,7.7,.277,.418,.330,.748,.285,.390,.324,.341,85.7,12.4,21.8,
Davis, Rajai,434658,2016,35,454,495,12,106,33,21.4,6.7,.249,.388,.305,.693,.235,.346,.302,.294,86.5,14.5,29.9,
Ramirez, Hanley,434670,2016,32,549,620,30,120,60,19.4,9.7,.286,.505,.361,.866,.262,.468,.367,.342,90.6,9.3,42,
Morales, Kendrys,434778,2016,33,558,618,30,120,48,19.4,7.8,.263,.468,.327,.795,.290,.554,.339,.356,92.8,11.3,49.9,
Kendrick III, Howie,435062,2016,32,487,543,8,96,50,17.7,9.2,.255,.366,.326,.691,.268,.416,.303,.342,90.5,1.7,42.1,
Napoli, Mike,435063,2016,34,557,645,34,194,78,30.1,12.1,.239,.465,.335,.800,.219,.469,.343,.320,89.6,18.5,39.4,
Wilson, Bobby,435064,2016,33,228,251,7,64,11,25.5,4.4,.237,.355,.263,.618,.217,.319,.270,.255,85.3,14.6,26.3,
Kinsler, Ian,435079,2016,34,618,679,28,115,45,16.9,6.6,.288,.484,.348,.831,.266,.417,.356,.329,87.1,18.4,30.6,
McCann, Brian,435263,2016,32,429,492,20,99,54,20.1,11.0,.242,.413,.335,.748,.245,.421,.326,.339,88.9,18.9,35.8,
Walker, Neil,435522,2016,30,412,458,23,84,42,18.3,9.2,.282,.476,.347,.823,.270,.487,.351,.339,89.1,18,37.5,
Suzuki, Kurt,435559,2016,32,345,373,8,48,18,12.9,4.8,.258,.403,.300,.703,.242,.361,.303,.289,87.3,14.6,30.5,
Desmond, Ian,435622,2016,30,625,677,22,160,44,23.6,6.5,.285,.446,.335,.782,.258,.424,.336,.313,90.7,4.8,43.6,
Cruz Jr., Nelson,443558,2016,35,589,667,43,159,62,23.8,9.3,.287,.555,.360,.915,.278,.592,.383,.355,94.6,11.2,52.4,
Jaso, John,444379,2016,32,380,432,8,74,45,17.1,10.4,.268,.413,.352,.765,.262,.396,.335,.351,86.3,7.7,32.1,
Trumbo, Mark,444432,2016,30,613,667,47,170,51,25.5,7.6,.256,.533,.316,.850,.266,.547,.358,.327,92.8,15.1,44.7,
Escobar, Alcides,444876,2016,29,637,682,7,96,27,14.1,4.0,.261,.350,.287,.637,.244,.322,.278,.277,84,9.4,17.6,
Jay, Jon,445055,2016,31,347,373,2,78,19,20.9,5.1,.291,.389,.338,.727,.256,.342,.318,.306,86.1,7,23.2,
Prado, Martin,445988,2016,32,600,658,8,69,49,10.5,7.4,.305,.417,.359,.775,.284,.370,.335,.341,87.9,8.6,30.8,
Wieters, Matt,446308,2016,30,423,464,17,85,32,18.3,6.9,.243,.409,.302,.711,.255,.435,.307,.314,87.9,16.4,33,
Longoria, Evan,446334,2016,30,633,685,36,144,42,21.0,6.1,.273,.521,.318,.840,.268,.536,.350,.318,90.8,18.2,41.5,
Cozart, Zack,446359,2016,30,464,508,16,84,37,16.5,7.3,.252,.425,.307,.732,.239,.360,.312,.298,86.3,15.2,27.5,
Barney, Darwin,446381,2016,30,279,306,4,48,22,15.7,7.2,.269,.373,.320,.693,.247,.334,.303,.306,86,10.6,23.8,
Guyer, Brandon,446386,2016,30,293,345,9,55,19,15.9,5.5,.266,.423,.371,.794,.249,.369,.351,.359,87.3,13.9,27.9,
Rodriguez, Sean,446481,2016,31,300,342,18,102,33,29.8,9.6,.270,.510,.348,.858,.239,.476,.363,.326,90.4,12.8,36.6,
Reynolds, Mark,448602,2016,32,393,441,14,112,42,25.4,9.5,.282,.450,.356,.806,.227,.384,.349,.307,87.9,12.2,37.1,
Davis, Chris,448801,2016,30,566,665,38,219,88,32.9,13.2,.221,.459,.332,.792,.219,.490,.340,.333,91.1,17.2,44,
Orlando, Paulo,449181,2016,30,457,484,5,105,13,21.7,2.7,.302,.405,.326,.731,.281,.411,.317,.311,89.6,8.3,37.4,
Zobrist, Ben,450314,2016,35,523,631,18,82,96,13.0,15.2,.272,.446,.384,.829,.276,.418,.360,.393,89.2,9.5,35.6,
Fowler, Dexter,451594,2016,30,456,551,13,124,79,22.5,14.3,.276,.447,.392,.839,.255,.405,.367,.378,88.1,12.4,33.8,
Flowers, Tyler,452095,2016,30,281,325,8,91,29,28.0,8.9,.270,.420,.357,.777,.243,.437,.338,.339,93.3,12.8,48.5,
Headley, Chase,452104,2016,32,467,529,14,118,51,22.3,9.6,.253,.385,.331,.716,.241,.377,.312,.323,87.2,11.9,33.1,
Smith, Seth,452234,2016,33,378,438,16,89,48,20.3,11.0,.249,.415,.342,.758,.267,.476,.331,.360,89.5,8.3,40.6,
Lind, Adam,452252,2016,32,401,430,20,89,26,20.7,6.0,.239,.431,.286,.717,.257,.465,.304,.303,91.2,10.8,42.7,
Pence, Hunter,452254,2016,33,395,442,13,95,43,21.5,9.7,.289,.451,.357,.808,.264,.428,.349,.342,91,5.5,41.3,
Span, Denard,452655,2016,32,572,637,11,79,53,12.4,8.3,.266,.381,.328,.709,.279,.385,.312,.346,86,6.6,29.7,
Cabrera, Asdrubal,452678,2016,30,521,568,23,103,38,18.1,6.7,.280,.474,.336,.810,.254,.423,.345,.314,88.9,15.5,33.3,
Ellsbury, Jacoby,453056,2016,32,551,626,9,84,54,13.4,8.6,.263,.374,.321,.695,.267,.360,.308,.334,86.9,10.7,31.4,
Tulowitzki, Troy,453064,2016,31,492,544,24,101,43,18.6,7.9,.254,.443,.318,.761,.266,.489,.327,.331,90,14.2,40.8,
Johnson, Chris,453400,2016,31,243,264,5,78,19,29.5,7.2,.222,.329,.280,.610,.258,.393,.267,.316,90.6,11.5,42.8,
Blackmon, Charlie,453568,2016,29,578,641,29,102,43,15.9,6.7,.324,.552,.379,.931,.296,.481,.394,.358,87.7,15.2,33.5,
Blanco, Gregor,453923,2016,32,241,274,1,51,29,18.6,10.6,.224,.311,.307,.618,.223,.302,.272,.311,85.2,12.8,20.3,
Frazier, Todd,453943,2016,30,590,666,40,163,64,24.5,9.6,.225,.464,.302,.766,.220,.428,.326,.299,89,20.4,35.2,
Iannetta, Chris,455104,2016,33,295,338,7,83,38,24.6,11.2,.210,.329,.302,.631,.233,.375,.282,.327,89.3,15.1,39.1,
Maldonado, Martin,455117,2016,29,208,253,8,56,35,22.1,13.8,.202,.351,.328,.679,.206,.367,.294,.337,87.6,11.3,29.5,
Markakis, Nick,455976,2016,32,599,684,13,101,71,14.8,10.4,.269,.397,.346,.744,.276,.415,.321,.358,90.7,10.7,42.6,
Pedroia, Dustin,456030,2016,32,633,698,15,73,61,10.5,8.7,.318,.449,.375,.824,.285,.403,.358,.348,88.6,8.6,28.9,
Castillo, Welington,456078,2016,29,416,457,14,121,33,26.5,7.2,.264,.423,.322,.745,.234,.387,.319,.298,88.8,12.9,37.5,
Bourn, Michael,456422,2016,33,375,413,5,92,28,22.3,6.8,.264,.371,.308,.678,.233,.318,.298,.286,85.1,8.3,17.4,
Nunez, Eduardo,456488,2016,29,553,595,16,88,29,14.8,4.9,.288,.432,.324,.757,.255,.390,.324,.299,89.6,8.4,37,
Pearce, Steve,456665,2016,33,264,302,13,54,34,17.9,11.3,.288,.492,.374,.867,.274,.497,.371,.362,89.8,15.4,40.3,
Butler, Billy,456714,2016,30,250,274,5,42,21,15.3,7.7,.284,.416,.336,.752,.312,.524,.324,.364,90.3,8.7,41.7,
Cain, Lorenzo,456715,2016,30,397,434,9,84,31,19.4,7.1,.287,.408,.339,.747,.276,.406,.322,.329,88.6,9.2,33.4,
Saltalamacchia, Jarrod,457454,2016,31,246,292,12,104,41,35.6,14.0,.171,.346,.284,.630,.170,.351,.277,.291,89.3,21.7,34.7,
De Aza, Alejandro,457477,2016,32,234,267,6,67,26,25.1,9.7,.205,.321,.296,.616,.245,.380,.276,.333,88,16.1,27.2,
McCutchen, Andrew,457705,2016,29,598,675,24,143,69,21.2,10.2,.256,.430,.336,.766,.259,.457,.329,.342,89.6,16.5,41.7,
Upton, Justin,457708,2016,28,570,626,31,179,50,28.6,8.0,.246,.465,.310,.775,.251,.482,.329,.316,91.2,15.5,45,
Maybin, Cameron,457727,2016,29,349,391,4,69,36,17.6,9.2,.315,.418,.381,.799,.263,.358,.352,.338,87.8,4.7,31.8,
Turner, Justin,457759,2016,31,556,622,27,107,48,17.2,7.7,.275,.493,.339,.832,.275,.483,.353,.342,90.6,17,41.4,
Posey III, Buster,457763,2016,29,539,614,14,68,64,11.1,10.4,.288,.434,.362,.796,.288,.480,.341,.366,90.5,9.9,43.2,
Espinosa, Danny,457787,2016,29,516,601,24,174,54,29.0,9.0,.209,.378,.303,.681,.197,.361,.294,.300,90.1,14.8,33.4,
Bruce, Jay,457803,2016,29,539,589,33,126,44,21.4,7.5,.250,.506,.309,.815,.248,.464,.340,.309,88.9,14.8,38.2,
Votto, Joey,458015,2016,32,556,677,29,120,108,17.7,16.0,.326,.550,.434,.985,.300,.531,.413,.415,89.5,11.6,39.6,
Coghlan, Chris,458085,2016,31,261,300,6,73,35,24.3,11.7,.188,.318,.290,.608,.207,.323,.269,.312,87.2,7.3,30.2,
Rasmus, Colby,458675,2016,29,369,417,15,121,43,29.0,10.3,.206,.355,.285,.640,.223,.405,.282,.306,88.5,18.2,36.8,
Gardner, Brett,458731,2016,32,547,634,7,106,70,16.7,11.0,.261,.362,.349,.711,.252,.345,.317,.344,86.5,7.4,24,
Saunders, Michael,459431,2016,29,490,558,24,157,59,28.1,10.6,.253,.478,.337,.814,.234,.404,.348,.323,90,11.1,44.5,
Joyce, Matt,459964,2016,31,231,293,13,67,59,22.9,20.1,.242,.463,.403,.866,.229,.426,.375,.398,89,13.3,39,
Hundley, Nick,460026,2016,32,289,317,10,65,25,20.5,7.9,.260,.439,.319,.758,.248,.382,.323,.310,90,10.7,37.2,
Braun, Ryan,460075,2016,32,511,564,30,98,46,17.4,8.2,.305,.538,.365,.903,.282,.469,.378,.347,90,4.6,38.9,
Gordon, Alex,460086,2016,32,445,506,17,148,52,29.2,10.3,.220,.380,.312,.692,.229,.421,.303,.321,87.8,15.2,36.6,
Gomez, Carlos,460576,2016,30,411,453,13,136,34,30.0,7.5,.231,.384,.296,.680,.209,.344,.296,.279,87.8,11.1,32,
Moss, Brandon,461235,2016,32,413,464,28,141,39,30.4,8.4,.225,.484,.300,.784,.231,.483,.329,.307,88.5,22.5,39,
Kemp, Matt,461314,2016,31,623,672,35,156,36,23.2,5.4,.268,.499,.304,.803,.267,.521,.333,.306,88.2,14.5,38,
Plouffe, Trevor,461858,2016,30,319,344,12,60,19,17.4,5.5,.260,.420,.302,.722,.259,.432,.311,.308,90.2,12.3,40.3,
Andrus, Elvis,462101,2016,27,506,568,8,70,47,12.3,8.3,.302,.439,.359,.798,.278,.383,.344,.343,87.4,9,31.8,
Cervelli, Francisco,465041,2016,30,326,393,1,72,56,18.3,14.2,.264,.322,.377,.699,.247,.341,.318,.369,86.5,6.4,30.9,
Cabrera, Melky,466320,2016,31,591,646,14,69,47,10.7,7.3,.296,.455,.344,.799,.277,.384,.342,.330,89.5,11.1,34,
Ramos, Wilson,467092,2016,28,482,523,22,79,35,15.1,6.7,.307,.496,.354,.850,.280,.482,.361,.332,90.8,4.8,43.2,
Santana, Carlos,467793,2016,30,582,688,34,99,99,14.4,14.4,.259,.498,.366,.865,.275,.512,.370,.381,90.8,14.4,43.2,
Parra, Gerardo,467827,2016,29,368,381,7,73,9,19.2,2.4,.253,.399,.270,.670,.247,.388,.284,.266,87.4,4.9,32.2,
Montero, Miguel,471083,2016,32,241,284,8,58,38,20.4,13.4,.216,.357,.327,.684,.196,.315,.299,.314,86.4,9.2,25.4,
Gonzalez, Carlos,471865,2016,30,584,632,25,129,46,20.4,7.3,.298,.505,.350,.855,.275,.462,.361,.329,90.2,9,41.2,
Valbuena, Luis,472528,2016,30,292,342,13,81,44,23.7,12.9,.260,.459,.354,.813,.228,.404,.351,.333,87.4,16.1,31,
Mercer, Jordy,474568,2016,29,519,584,11,83,51,14.2,8.7,.256,.374,.324,.697,.245,.349,.304,.322,86.9,11.1,26.3,
Belt, Brandon,474832,2016,28,542,655,17,148,104,22.6,15.9,.275,.474,.394,.868,.266,.493,.374,.391,87.2,21.2,32.4,
Carter, Chris,474892,2016,29,549,644,41,206,76,32.0,11.8,.222,.499,.321,.821,.237,.534,.346,.336,91.7,18.6,46.2,
Alonso, Yonder,475174,2016,29,482,532,7,74,45,13.9,8.5,.253,.367,.316,.683,.259,.398,.299,.323,88.6,11.2,37.4,
Smoak, Justin,475253,2016,29,299,341,14,112,40,32.8,11.7,.217,.391,.314,.705,.226,.435,.309,.322,91.6,18.7,42.2,
Zimmerman, Ryan,475582,2016,31,427,467,15,104,29,22.3,6.2,.218,.370,.272,.642,.246,.416,.277,.305,92.6,9.1,45.6,
Lowrie, Jed,476704,2016,32,338,369,2,65,26,17.6,7.0,.263,.322,.314,.637,.250,.331,.282,.305,86,11.9,24.5,
Alvarez, Pedro,476883,2016,29,337,376,22,97,37,25.8,9.8,.249,.504,.322,.826,.261,.501,.349,.334,92.7,13.3,49.2,
Wallace, Brett,477165,2016,29,217,256,6,83,29,32.4,11.3,.189,.318,.309,.627,.203,.347,.280,.321,87.9,9.8,35.6,
Carrera, Ezequiel,485567,2016,29,270,310,6,70,27,22.6,8.7,.248,.356,.316,.672,.221,.326,.301,.303,86.5,4.7,31.6,
Bourjos, Peter,488721,2016,29,355,383,5,91,17,23.8,4.4,.251,.389,.287,.676,.227,.321,.291,.270,88.1,7.8,32.8,
Castro, Jason,488771,2016,29,329,376,11,123,45,32.7,12.0,.210,.377,.306,.683,.219,.402,.301,.315,89.5,11.6,40.1,
d'Arnaud, Chase,488818,2016,29,233,262,1,50,23,19.1,8.8,.245,.335,.317,.652,.231,.305,.287,.307,84.7,13.3,22,
Escobar, Yunel,488862,2016,33,517,567,5,67,40,11.8,7.1,.304,.391,.353,.743,.280,.382,.327,.335,89.3,1.9,36.1,
Morrison, Logan,489149,2016,28,353,398,14,89,37,22.4,9.3,.238,.414,.319,.733,.260,.442,.318,.339,90.5,12,41.7,
Aoki, Norichika,493114,2016,34,417,467,4,45,34,9.6,7.3,.283,.388,.345,.733,.237,.306,.325,.310,87.2,3,24.9,
Lee, Dae-Ho,493193,2016,34,292,317,14,74,20,23.3,6.3,.253,.428,.312,.740,.261,.422,.318,.320,87.5,6.8,36.7,
Cespedes, Yoenis,493316,2016,30,479,543,31,108,51,19.9,9.4,.280,.530,.354,.884,.282,.524,.369,.358,91.7,16.3,47.5,
Ramirez, Alexei,493351,2016,34,478,506,6,63,21,12.5,4.2,.241,.333,.277,.609,.243,.304,.264,.280,84.5,9,23.9,
Beckham, Gordon,493596,2016,29,245,279,5,52,26,18.6,9.3,.212,.347,.294,.641,.228,.356,.281,.311,88,12.6,32,
Solarte, Yangervis,500208,2016,28,405,443,15,63,30,14.2,6.8,.286,.467,.341,.808,.247,.380,.346,.305,88.5,12.9,33.3,
Escobar, Eduardo,500871,2016,27,352,377,6,72,21,19.1,5.6,.236,.338,.279,.617,.247,.369,.269,.292,85.6,15.1,24.4,
Freese, David,501896,2016,33,437,492,13,142,45,28.9,9.1,.270,.412,.352,.764,.246,.407,.334,.332,91,2.2,48.5,
Davis, Khris,501981,2016,28,555,610,42,166,42,27.2,6.9,.247,.524,.307,.831,.251,.562,.349,.313,92,13.3,48.2,
Chisenhall, Lonnie,502082,2016,27,385,418,8,70,23,16.7,5.5,.286,.439,.325,.764,.253,.373,.327,.299,86.2,18,24.8,
Martinez, J.D.,502110,2016,28,460,517,22,128,49,24.8,9.5,.307,.535,.373,.908,.293,.570,.384,.366,91.5,13.4,47.2,
Valencia, Danny,502143,2016,31,471,517,17,115,41,22.2,7.9,.287,.446,.346,.792,.276,.467,.342,.338,90.1,9.8,41.1,
Reddick, Josh,502210,2016,29,398,439,10,56,39,12.8,8.9,.281,.405,.344,.748,.282,.411,.324,.347,88.1,14.3,32.7,
Dyson, Jarrod,502481,2016,31,299,337,1,39,26,11.6,7.7,.278,.388,.332,.720,.262,.316,.316,.330,84.3,4.9,21.9,
Murphy, Daniel,502517,2016,31,531,582,25,57,35,9.8,6.0,.347,.595,.390,.985,.317,.562,.408,.369,90.7,16.8,41.5,
Goldschmidt, Paul,502671,2016,28,579,705,24,150,110,21.3,15.6,.297,.489,.410,.899,.271,.457,.382,.392,91,11,42.6,
Gonzalez, Marwin,503556,2016,27,484,518,13,118,22,22.8,4.2,.254,.401,.290,.690,.234,.389,.298,.276,89.3,9.3,35.9,
Leon, Sandy,506702,2016,27,252,283,7,66,23,23.3,8.1,.310,.476,.364,.840,.237,.360,.362,.308,86.9,11.3,26.7,
Altuve, Jose,514888,2016,26,640,717,24,70,60,9.8,8.4,.338,.531,.395,.926,.318,.525,.391,.382,88.3,11.4,36.4,
Hernandez, Cesar,514917,2016,26,547,622,6,116,66,18.6,10.6,.294,.393,.368,.761,.268,.349,.335,.351,87,5,29.2,
Segura, Jean,516416,2016,26,637,694,20,101,39,14.6,5.6,.319,.499,.366,.865,.274,.458,.371,.328,89,7.9,33.8,
Castro, Starlin,516770,2016,26,577,610,21,118,24,19.3,3.9,.270,.433,.300,.733,.262,.418,.313,.295,88.5,8.9,34.2,
Marte, Starling,516782,2016,27,489,529,9,104,23,19.7,4.3,.311,.456,.361,.817,.280,.433,.351,.334,87.5,9.2,37,
d'Arnaud, Travis,518595,2016,27,251,276,4,50,19,18.1,6.9,.247,.323,.304,.627,.238,.337,.279,.299,89.1,8.8,39.7,
Descalso, Daniel,518614,2016,29,250,289,8,56,34,19.4,11.8,.264,.424,.349,.773,.259,.373,.332,.348,87.9,10.7,35.4,
Dietrich, Derek,518618,2016,26,351,412,7,84,32,20.4,7.8,.279,.425,.374,.798,.255,.416,.348,.358,85.5,13,32,
Donaldson, Josh,518626,2016,30,577,700,37,119,109,17.0,15.6,.284,.549,.403,.952,.278,.550,.403,.400,92.2,14.9,49.2,
Freeman, Freddie,518692,2016,26,589,693,34,171,89,24.7,12.8,.302,.569,.400,.968,.281,.566,.402,.386,91.3,17.3,44.7,
Grandal, Yasmani,518735,2016,27,390,457,27,116,64,25.4,14.0,.228,.477,.339,.816,.235,.478,.350,.346,91.3,12.4,44.7,
Heyward, Jason,518792,2016,26,530,592,7,93,54,15.7,9.1,.230,.325,.306,.630,.251,.349,.282,.326,86.8,10.7,30.9,
LeMahieu, DJ,518934,2016,27,552,635,11,80,66,12.6,10.4,.348,.495,.411,.906,.337,.490,.391,.410,91.8,6.1,47.7,
Lucroy, Jonathan,518960,2016,30,490,544,24,100,47,18.4,8.6,.292,.500,.355,.855,.274,.468,.362,.341,87.6,14.5,35,
Moreland, Mitch,519048,2016,30,460,503,22,118,35,23.5,7.0,.233,.422,.298,.720,.255,.472,.307,.319,90.6,14.4,39.5,
Norris, Derek,519083,2016,27,415,458,14,139,36,30.3,7.9,.186,.328,.255,.583,.224,.348,.252,.292,87.4,18.9,32.6,
Revere, Ben,519184,2016,28,350,375,2,34,18,9.1,4.8,.217,.300,.259,.559,.230,.301,.246,.275,83.6,5.5,16.3,
Rizzo, Anthony,519203,2016,26,583,676,32,108,74,16.0,10.9,.292,.544,.385,.928,.264,.485,.391,.363,89.1,16.3,36.2,
Rupp, Cameron,519237,2016,27,389,419,16,114,24,27.2,5.7,.252,.447,.303,.750,.236,.431,.321,.289,91.3,9,47.1,
Smolinski, Jake,519295,2016,27,290,319,7,44,19,13.8,6.0,.238,.345,.298,.643,.262,.391,.284,.323,87.5,13.1,30.9,
Souza Jr., Steven,519306,2016,27,430,468,17,159,31,34.0,6.6,.247,.409,.303,.713,.228,.417,.308,.289,89.9,13,38.1,
Stanton, Giancarlo,519317,2016,26,413,470,27,140,50,29.8,10.6,.240,.489,.326,.815,.237,.474,.344,.325,93.9,13.9,47.6,
Vogt, Stephen,519390,2016,31,490,532,14,83,35,15.6,6.6,.251,.406,.305,.711,.260,.413,.305,.314,85.9,19.4,26.8,
Galvis, Freddy,520471,2016,26,584,624,20,136,25,21.8,4.0,.241,.399,.271,.670,.229,.344,.284,.265,87.4,13.6,27.4,
Perez, Salvador,521692,2016,26,514,546,22,119,22,21.8,4.0,.247,.438,.288,.725,.237,.397,.308,.278,88.8,18.9,37.8,
Forsythe, Logan,523253,2016,29,511,567,20,127,46,22.4,8.1,.264,.444,.333,.778,.271,.477,.336,.340,90,13.6,38.9,
Flores, Wilmer,527038,2016,24,307,335,16,48,23,14.3,6.9,.267,.469,.319,.788,.246,.399,.336,.301,86.5,18.4,29,
Marte, Jefry,527043,2016,25,258,284,15,59,18,20.8,6.3,.252,.481,.310,.790,.245,.426,.335,.305,89.2,12.6,37.1,
Garcia, Avisail,541645,2016,25,413,453,12,115,34,25.4,7.5,.245,.385,.307,.692,.260,.420,.302,.323,90.1,5.4,39.3,
Perez, Hernan,541650,2016,25,404,430,13,94,18,21.9,4.2,.272,.428,.300,.728,.247,.368,.312,.279,88.8,12.4,38.2,
Perez, Carlos,542208,2016,25,268,291,5,49,12,16.8,4.1,.209,.325,.237,.562,.223,.324,.246,.258,84.8,14.9,27.5,
Inciarte, Ender,542255,2016,25,522,578,3,68,45,11.8,7.8,.291,.381,.348,.729,.264,.330,.319,.327,85.5,8.2,15,
Ozuna, Marcell,542303,2016,25,557,608,23,115,43,18.9,7.1,.266,.452,.321,.773,.276,.469,.330,.331,90.8,10.9,42.2,
Villar, Jonathan,542340,2016,25,589,679,19,174,79,25.6,11.6,.285,.457,.367,.823,.242,.377,.356,.335,90.3,4.7,38.2,
Adames, Cristhian,542436,2016,24,225,256,2,47,24,18.4,9.4,.218,.302,.301,.603,.225,.295,.274,.313,84.1,2.2,24.3,
Burns, Billy,542993,2016,26,311,332,0,37,10,11.1,3.0,.235,.296,.268,.564,.233,.270,.247,.273,82.8,7,12.5,
